snapshot_time,product_id,pricePerUnit,amount,orders,tier_rank
2025-04-28 18:24:02,ENCHANTED_BROWN_MUSHROOM,1532.1,4992,1,4
2025-04-28 18:24:02,ENCHANTED_BROWN_MUSHROOM,1527.5,63290,1,5
2025-04-28 18:24:02,ENCHANTED_BROWN_MUSHROOM,1525.1,31896,1,6
2025-04-28 18:24:02,ENCHANTED_BROWN_MUSHROOM,1523.0,3926,1,7
2025-04-28 18:24:02,ENCHANTED_BROWN_MUSHROOM,1522.9,14078,1,8
2025-04-28 18:24:02,ENCHANTED_BROWN_MUSHROOM,1518.3,192,1,9
2025-04-28 18:24:02,GOBLIN_EGG_YELLOW,6434.5,1900,1,0
2025-04-28 18:24:02,GOBLIN_EGG_YELLOW,6434.4,9965,1,1
2025-04-28 18:24:02,GOBLIN_EGG_YELLOW,6434.2,1481,1,2
2025-04-28 18:24:02,GOBLIN_EGG_YELLOW,6433.9,9853,1,3
2025-04-28 18:24:02,GOBLIN_EGG_YELLOW,6433.4,1219,1,4
2025-04-28 18:24:02,GOBLIN_EGG_YELLOW,6433.2,988,1,5
2025-04-28 18:24:02,GOBLIN_EGG_YELLOW,6432.9,7,1,6
2025-04-28 18:24:02,GOBLIN_EGG_YELLOW,6432.7,969,1,7
2025-04-28 18:24:02,GOBLIN_EGG_YELLOW,6432.6,911,1,8
2025-04-28 18:24:02,GOBLIN_EGG_YELLOW,6432.0,1908,1,9
2025-04-28 18:24:02,GOBLIN_EGG_YELLOW,6430.8,2935,1,10
2025-04-28 18:24:02,GOBLIN_EGG_YELLOW,6430.4,56,1,11
2025-04-28 18:24:02,GOBLIN_EGG_YELLOW,6430.3,661,1,12
2025-04-28 18:24:02,GOBLIN_EGG_YELLOW,6430.2,53,1,13
2025-04-28 18:24:02,GOBLIN_EGG_YELLOW,5241.3,23,1,14
2025-04-28 18:24:02,GOBLIN_EGG_YELLOW,4200.5,9993,1,15
2025-04-28 18:24:02,GOBLIN_EGG_YELLOW,4200.0,9952,1,16
2025-04-28 18:24:02,GOBLIN_EGG_YELLOW,3842.4,14470,2,17
2025-04-28 18:24:02,GOBLIN_EGG_YELLOW,3842.3,39955,1,18
2025-04-28 18:24:02,GOBLIN_EGG_YELLOW,3840.5,553,1,19
2025-04-28 18:24:02,GOBLIN_EGG_YELLOW,3840.0,1959,1,20
2025-04-28 18:24:02,GOBLIN_EGG_YELLOW,3830.4,572,1,21
2025-04-28 18:24:02,GOBLIN_EGG_YELLOW,3821.5,9998,1,22
2025-04-28 18:24:02,GOBLIN_EGG_YELLOW,3814.1,545,2,23
2025-04-28 18:24:02,GOBLIN_EGG_YELLOW,3810.0,64,1,24
2025-04-28 18:24:02,GOBLIN_EGG_YELLOW,3807.9,256,1,25
2025-04-28 18:24:02,GOBLIN_EGG_YELLOW,3805.8,121,1,26
2025-04-28 18:24:02,GOBLIN_EGG_YELLOW,3552.8,9924,1,27
2025-04-28 18:24:02,GOBLIN_EGG_YELLOW,3550.1,38766,1,28
2025-04-28 18:24:02,GOBLIN_EGG_YELLOW,3546.4,492,1,29
2025-04-28 18:24:02,PARTY_GIFT,57841.2,34,1,0
2025-04-28 18:24:02,PARTY_GIFT,57841.1,34,1,1
2025-04-28 18:24:02,PARTY_GIFT,57841.0,160,1,2
2025-04-28 18:24:02,PARTY_GIFT,57840.8,2000,1,3
2025-04-28 18:24:02,PARTY_GIFT,57840.7,872,1,4
2025-04-28 18:24:02,PARTY_GIFT,57840.5,64,1,5
2025-04-28 18:24:02,PARTY_GIFT,57840.4,64,1,6
2025-04-28 18:24:02,PARTY_GIFT,57840.3,200,1,7
2025-04-28 18:24:02,PARTY_GIFT,57840.2,256,1,8
2025-04-28 18:24:02,PARTY_GIFT,57840.0,12382,1,9
2025-04-28 18:24:02,PARTY_GIFT,57839.7,1023,1,10
2025-04-28 18:24:02,PARTY_GIFT,57839.3,281,1,11
2025-04-28 18:24:02,PARTY_GIFT,57839.1,1690,1,12
2025-04-28 18:24:02,PARTY_GIFT,57839.0,500,1,13
2025-04-28 18:24:02,ENCHANTED_GLISTERING_MELON,7800.0,251,1,0
2025-04-28 18:24:02,ENCHANTED_GLISTERING_MELON,7765.8,158,1,1
2025-04-28 18:24:02,ENCHANTED_GLISTERING_MELON,7765.7,1983,2,2
2025-04-28 18:24:02,ENCHANTED_GLISTERING_MELON,7765.6,100,1,3
2025-04-28 18:24:02,ENCHANTED_GLISTERING_MELON,7765.5,4,1,4
2025-04-28 18:24:02,ENCHANTED_GLISTERING_MELON,3239.2,63,1,5
2025-04-28 18:24:02,ENCHANTED_GLISTERING_MELON,3239.1,113,2,6
2025-04-28 18:24:02,ENCHANTED_GLISTERING_MELON,3238.6,60,1,7
2025-04-28 18:24:02,ENCHANTED_GLISTERING_MELON,3236.6,64,3,8
2025-04-28 18:24:02,ENCHANTED_GLISTERING_MELON,3236.5,290,1,9
2025-04-28 18:24:02,ENCHANTED_GLISTERING_MELON,3236.3,1016,1,10
2025-04-28 18:24:02,ENCHANTED_GLISTERING_MELON,2802.7,9,1,11
2025-04-28 18:24:02,ENCHANTED_GLISTERING_MELON,2802.6,760,1,12
2025-04-28 18:24:02,ENCHANTED_GLISTERING_MELON,2801.8,61,1,13
2025-04-28 18:24:02,ENCHANTED_GLISTERING_MELON,2800.7,1,1,14
2025-04-28 18:24:02,ENCHANTED_GLISTERING_MELON,1601.5,160,1,15
2025-04-28 18:24:02,ENCHANTMENT_CORRUPTION_5,41722.0,1,1,0
2025-04-28 18:24:02,ENCHANTMENT_CORRUPTION_5,36012.6,31,1,1
2025-04-28 18:24:02,ENCHANTMENT_CORRUPTION_5,36012.5,1,1,2
